"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"255";"2024-461";"LOG0005505";;;"UAB Treka";"2024-07-24";"45";"2024-09-07";" ";"514,25";"EUR";"514,25";"425";"514,25";"0";"514,25";"0";"514.25 EUR 2024-09-16 "
"256";"2024-052";"LOG0005108";;;"UAB Treka";"2024-01-29";"45";"2024-03-14";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-03-18 "
"257";"2024-199";"LOG0005268";;;"UAB Treka";"2024-03-29";"45";"2024-05-13";" ";"1815";"EUR";"1815";"1500";"1815";"0";"1815";"0";"1815 EUR 2024-05-24 "
"258";"2024-004";"LOG0005063";;;"UAB Treka";"2024-01-17";"45";"2024-03-02";" ";"405,35";"EUR";"405,35";"335";"405,35";"0";"405,35";"0";"405.35 EUR 2024-03-07 "
"259";"2024-173";"LOG0005223";;;"UAB Treka";"2024-03-21";"45";"2024-05-05";" ";"471,9";"EUR";"471,9";"390";"471,9";"0";"471,9";"0";"471.9 EUR 2024-05-09 "
"260";"2024-387";"LOG0005434";;;"UAB Treka";"2024-06-27";"45";"2024-08-11";" ";"223,85";"EUR";"223,85";"185";"223,85";"0";"223,85";"0";"223.85 EUR 2024-08-20 "
"261";"2024-744";"LOG0005786";;;"UAB Treka";"2024-11-29";"45";"2025-01-13";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2025-01-20 "
"262";"2024-045";"LOG0005101";;;"UAB Treka";"2024-01-29";"45";"2024-03-14";" ";"830";"EUR";"830";"830";"830";"0";"830";"0";"830 EUR 2024-03-18 "
"263";"2024-010";"LOG0005069";;;"UAB Treka";"2024-01-17";"45";"2024-03-02";" ";"786,5";"EUR";"786,5";"650";"786,5";"0";"786,5";"0";"786.5 EUR 2024-03-07 "
"264";"2024-406";"LOG0005453";;;"UAB Treka";"2024-07-04";"45";"2024-08-18";" ";"877,25";"EUR";"877,25";"725";"877,25";"0";"877,25";"0";"877.25 EUR 2024-08-27 "
"VISO:";"";"";"";"";"";"";"";"";"";"32422.4";"";"32422.4";"28130";"32422.4";"0";"32422.4";"0";""
"265";"2024-127";"LOG0005184";"UAB Delamode Baltics";;"UAB Delamode Baltics";"2024-02-28";"60";"2024-04-28";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-05-14 "
"266";"2024-213";"LOG0005267";;;"UAB Delamode Baltics";"2024-03-29";"60";"2024-05-28";" ";"350,9";"EUR";"350,9";"290";"350,9";"0";"350,9";"0";"350.9 EUR 2024-05-14 "
"267";"2024-380";"LOG0005427";;;"UAB Delamode Baltics";"2024-06-27";"60";"2024-08-26";" ";"411,4";"EUR";"411,4";"340";"411,4";"0";"411,4";"0";"411.4 EUR 2024-09-19 "
"268";"2024-497";"LOG0005542";;;"UAB Delamode Baltics";"2024-08-09";"30";"2024-09-08";" ";"350,9";"EUR";"350,9";"290";"350,9";"0";"350,9";"0";"350.9 EUR 2024-11-07 "
"269";"2024-057";"LOG0005113";;;"UAB Delamode Baltics";"2024-01-31";"60";"2024-03-31";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-03-21 "
"270";"2024-252";"LOG0005305";;;"UAB Delamode Baltics";"2024-04-26";"60";"2024-06-25";" ";"181,5";"EUR";"181,5";"150";"181,5";"0";"181,5";"0";"181.5 EUR 2024-07-30 "
"271";"2024-762";"LOG0005807";;;"UAB Delamode Baltics";"2024-12-09";"60";"2025-02-07";" ";"435,6";"EUR";"435,6";"360";"435,6";"0";"435,6";"0";"435.6 EUR 2025-03-17 "
"272";"2024-473";"LOG0005516";;;"UAB Delamode Baltics";"2024-07-31";"30";"2024-08-30";" ";"1500";"EUR";"1500";"1500";"1500";"0";"1500";"0";"1500 EUR 2024-09-26 "
"273";"2024-425";"LOG0005471";;;"UAB Delamode Baltics";"2024-07-15";"60";"2024-09-13";" ";"375,1";"EUR";"375,1";"310";"375,1";"0";"375,1";"0";"375.1 EUR 2024-11-07 "
"274";"2024-056";"LOG0005112";;;"UAB Delamode Baltics";"2024-01-31";"60";"2024-03-31";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-04-11 "
"275";"2024-523";"LOG0005566";;;"UAB Delamode Baltics";"2024-08-30";"30";"2024-09-29";" ";"592,9";"EUR";"592,9";"490";"592,9";"0";"592,9";"0";"592.9 EUR 2024-11-07 "
"276";"2024-079";"LOG0005137";;;"UAB Delamode Baltics";"2024-02-09";"60";"2024-04-09";" ";"40";"EUR";"40";"40";"40";"0";"40";"0";"40 EUR 2024-04-11 "
"277";"2024-444";"LOG0005490";;;"UAB Delamode Baltics";"2024-07-17";"60";"2024-09-15";" ";"284,35";"EUR";"284,35";"235";"284,35";"0";"284,35";"0";"284.35 EUR 2024-11-07 "
"278";"2024-278";"LOG0005335";;;"UAB Delamode Baltics";"2024-05-14";"60";"2024-07-13";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-07-30 "
"279";"2024-007";"LOG0005066";;;"UAB Delamode Baltics";"2024-01-17";"60";"2024-03-17";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2024-03-21 "
"280";"2024-225";"LOG0005277";;;"UAB Delamode Baltics";"2024-04-15";"60";"2024-06-14";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-06-18 "
"281";"2024-580";"LOG0005616";;;"UAB Delamode Baltics";"2024-09-23";"30";"2024-10-23";" ";"284,35";"EUR";"284,35";"235";"284,35";"0";"284,35";"0";"284.35 EUR 2024-11-21 "
"282";"2024-753";"LOG0005794";;;"UAB Delamode Baltics";"2024-11-29";"60";"2025-01-28";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2025-03-17 "
"283";"2024-163";"LOG0005219";;;"UAB Delamode Baltics";"2024-03-14";"60";"2024-05-13";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-05-14 "
"284";"2024-711";"LOG0005756";;;"UAB Delamode Baltics";"2024-11-15";"30";"2024-12-15";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2025-01-28 "
"285";"2024-012";"LOG0005071";;;"UAB Delamode Baltics";"2024-01-17";"60";"2024-03-17";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2024-03-21 "
"286";"2024-408";"LOG0005455";;;"UAB Delamode Baltics";"2024-07-04";"60";"2024-09-02";" ";"290,4";"EUR";"290,4";"240";"290,4";"0";"290,4";"0";"290.4 EUR 2024-09-19 "
"287";"2024-083";"LOG0005141";;;"UAB Delamode Baltics";"2024-02-09";"60";"2024-04-09";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-04-11 "
"288";"2024-615";"LOG0005659";;;"UAB Delamode Baltics";"2024-09-30";"60";"2024-11-29";" ";"556,6";"EUR";"556,6";"460";"556,6";"0";"556,6";"0";"556.6 EUR 2024-12-10 "
"289";"2024-017";"LOG0005076";;;"UAB Delamode Baltics";"2024-01-17";"60";"2024-03-17";" ";"350,9";"EUR";"350,9";"290";"350,9";"0";"350,9";"0";"350.9 EUR 2024-03-21 "
"290";"2024-197";"LOG0005255";;;"UAB Delamode Baltics";"2024-03-29";"60";"2024-05-28";" ";"205,7";"EUR";"205,7";"170";"205,7";"0";"205,7";"0";"205.7 EUR 2024-06-18 "
"291";"2024-121";"LOG0005178";;;"UAB Delamode Baltics";"2024-02-28";"60";"2024-04-28";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-05-14 "
"292";"2024-774";"LOG0005818";;;"UAB Delamode Baltics";"2024-12-16";"60";"2025-02-14";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2025-03-17 "
"293";"2024-212";"LOG0005261";;;"UAB Delamode Baltics";"2024-03-29";"60";"2024-05-28";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-05-14 "
"294";"2024-108";"LOG0005165";;;"UAB Delamode Baltics";"2024-02-21";"60";"2024-04-21";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-04-11 "
"295";"2024-139";"LOG0005197";;;"UAB Delamode Baltics";"2024-03-06";"60";"2024-05-05";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-05-14 "
"VISO:";"";"";"";"";"";"";"";"";"";"11655.6";"";"11655.6";"9900";"11655.6";"0";"11655.6";"0";""
"296";"2024-647";"LOG0005689";"UAB Tomeka";;"UAB Tomeka";"2024-10-18";"30";"2024-11-17";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-10-21 "
"297";"2024-746";"LOG0005789";;;"UAB Tomeka";"2024-11-29";"30";"2024-12-29";" ";"762,3";"EUR";"762,3";"630";"762,3";"0";"762,3";"0";"762.3 EUR 2025-01-06 "
"298";"2024-436";"LOG0005482";;;"UAB Tomeka";"2024-07-15";"30";"2024-08-14";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-08-19 "
"299";"2024-077";"LOG0005135";;;"UAB Tomeka";"2024-02-09";"30";"2024-03-10";" ";"108,9";"EUR";"108,9";"90";"108,9";"0";"108,9";"0";"108.9 EUR 2024-03-11 "
"300";"2024-469";"LOG0005512";;;"UAB Tomeka";"2024-07-31";"30";"2024-08-30";" ";"1512,5";"EUR";"1512,5";"1250";"1512,5";"0";"1512,5";"0";"1512.5 EUR 2024-09-02 "
"301";"2024-440";"LOG0005486";;;"UAB Tomeka";"2024-07-17";"30";"2024-08-16";" ";"100";"EUR";"100";"100";"100";"0";"100";"0";"100 EUR 2024-09-02 "
"VISO:";"";"";"";"";"";"";"";"";"";"3088.7";"";"3088.7";"2570";"3088.7";"0";"3088.7";"0";""
"302";"2024-726";"LOG0005783";"UAB Solgera";;"UAB Solgera";"2024-11-29";"30";"2024-12-29";" ";"1488,3";"EUR";"1488,3";"1230";"1488,3";"0";"1488,3";"0";"1488.3 EUR 2025-01-14 "
"303";"2024-232";"LOG0005288";"UAB Logiresta";;"UAB Logiresta";"2024-04-15";"30";"2024-05-15";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-05-08 "
"304";"2024-015";"LOG0005074";"UAB Auto Praba";;"UAB Auto Praba";"2024-01-17";"45";"2024-03-02";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-04-09 "
"305";"2024-033";"LOG0005089";;;"UAB Auto Praba";"2024-01-25";"45";"2024-03-10";" ";"701,8";"EUR";"701,8";"580";"701,8";"0";"701,8";"0";"701.8 EUR 2024-04-29 "
"VISO:";"";"";"";"";"";"";"";"";"";"943.8";"";"943.8";"780";"943.8";"0";"943.8";"0";""
"306";"2024-217";"LOG0005280";"UAB AD Transport";;"UAB AD Transport";"2024-04-15";"45";"2024-05-30";" ";"556,6";"EUR";"556,6";"460";"556,6";"0";"556,6";"0";"556.6 EUR 2024-05-30 "
"307";"2024-114";"LOG0005171";;;"UAB AD Transport";"2024-02-28";"45";"2024-04-13";" ";"280";"EUR";"280";"280";"280";"0";"280";"0";"280 EUR 2024-05-03 "
"308";"2024-120";"LOG0005177";;;"UAB AD Transport";"2024-02-28";"45";"2024-04-13";" ";"169,4";"EUR";"169,4";"140";"169,4";"0";"169,4";"0";"169.4 EUR 2024-04-15 "
"309";"2024-325";"LOG0005381";;;"UAB AD Transport";"2024-06-07";"45";"2024-07-22";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-07-23 "
"310";"2024-622";"LOG0005674";;;"UAB AD Transport";"2024-10-10";"45";"2024-11-24";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-11-26 "
"311";"2024-457";"LOG0005501";;;"UAB AD Transport";"2024-07-24";"45";"2024-09-07";" ";"250";"EUR";"250";"250";"250";"0";"250";"0";"250 EUR 2024-09-09 "
"312";"2024-462";"LOG0005506";;;"UAB AD Transport";"2024-07-24";"45";"2024-09-07";" ";"556,6";"EUR";"556,6";"460";"556,6";"0";"556,6";"0";"556.6 EUR 2024-09-09 "
"313";"2024-190";"LOG0005243";;;"UAB AD Transport";"2024-03-21";"45";"2024-05-05";" ";"1101,1";"EUR";"1101,1";"910";"1101,1";"0";"1101,1";"0";"1101.1 EUR 2024-05-06 "
"314";"2024-526";"LOG0005569";;;"UAB AD Transport";"2024-08-30";"45";"2024-10-14";" ";"423,5";"EUR";"423,5";"350";"423,5";"0";"423,5";"0";"423.5 EUR 2024-10-15 "
"VISO:";"";"";"";"";"";"";"";"";"";"4063.2";"";"4063.2";"3450";"4063.2";"0";"4063.2";"0";""
"315";"2024-773";"LOG0005817";"UAB EASTING EXPRESS";;"UAB EASTING EXPRESS";"2024-12-16";"30";"2025-01-15";" ";"544,5";"EUR";"544,5";"450";"544,5";"0";"544,5";"0";"544.5 EUR 2025-01-30 "
"316";"2024-141";"LOG0005199";;;"UAB EASTING EXPRESS";"2024-03-06";"30";"2024-04-05";" ";"470";"EUR";"470";"470";"470";"0";"470";"0";"470 EUR 2024-04-23 "
"VISO:";"";"";"";"";"";"";"";"";"";"1014.5";"";"1014.5";"920";"1014.5";"0";"1014.5";"0";""
"317";"2024-374";"LOG0005420";"UAB Teotransa";;"UAB Teotransa";"2024-06-17";"35";"2024-07-22";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-08-02 "
"318";"2024-402";"LOG0005450";;;"UAB Teotransa";"2024-06-28";"35";"2024-08-02";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-08-14 "
"319";"2024-357";"LOG0005404";;;"UAB Teotransa";"2024-06-17";"35";"2024-07-22";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-08-02 "
"320";"2024-260";"LOG0005314";;;"UAB Teotransa";"2024-04-30";"35";"2024-06-04";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-06-17 "
"321";"2024-362";"LOG0005409";;;"UAB Teotransa";"2024-06-17";"35";"2024-07-22";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-08-02 "
"VISO:";"";"";"";"";"";"";"";"";"";"1827.1";"";"1827.1";"1510";"1827.1";"0";"1827.1";"0";""
"322";"2024-470";"LOG0005513";"UAB Albe Alliance";;"UAB Albe Alliance";"2024-07-31";"30";"2024-08-30";" ";"400";"EUR";"400";"400";"400";"0";"400";"0";"400 EUR 2024-08-30 "
"323";"2024-392";"LOG0005440";"UAB AD Services";;"UAB AD Services";"2024-06-28";"45";"2024-08-12";" ";"508,2";"EUR";"508,2";"420";"508,2";"0";"508,2";"0";"508.2 EUR 2024-08-19 "
"324";"2024-142";"LOG0005200";"UAB Minitrans";;"UAB Minitrans";"2024-03-06";"30";"2024-04-05";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-05-21 "
"325";"2024-616";"LOG0005660";"UAB BnB Services";;"UAB BnB Services";"2024-09-30";"30";"2024-10-30";" ";"430";"EUR";"430";"430";"430";"0";"430";"0";"430 EUR 2024-11-29 "
"326";"2024-407";"LOG0005454";;;"UAB BnB Services";"2024-07-04";"30";"2024-08-03";" ";"1000";"EUR";"1000";"1000";"1000";"0";"1000";"0";"1000 EUR 2024-08-30 "
"VISO:";"";"";"";"";"";"";"";"";"";"1430";"";"1430";"1430";"1430";"0";"1430";"0";""
"327";"2024-624";"LOG0005676";"UAB Ana";;"UAB Ana";"2024-10-10";"30";"2024-11-09";" ";"429,55";"EUR";"429,55";"355";"429,55";"0";"429,55";"0";"429.55 EUR 2024-11-28 "
"328";"2024-747";"LOG0005790";;;"UAB Ana";"2024-11-29";"30";"2024-12-29";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2025-01-24 "
"VISO:";"";"";"";"";"";"";"";"";"";"913.55";"";"913.55";"755";"913.55";"0";"913.55";"0";""
"329";"2024-239";"LOG0005294";"UAB Logibaltika";;"UAB Logibaltika";"2024-04-17";"45";"2024-06-01";" ";"1028,5";"EUR";"1028,5";"850";"1028,5";"0";"1028,5";"0";"1028.5 EUR 2024-05-31 "
"330";"2024-426";"LOG0005472";"UAB Arfi Line";;"UAB Arfi Line";"2024-07-15";"45";"2024-08-29";" ";"1150";"EUR";"1150";"1150";"1150";"0";"1150";"0";"1150 EUR 2024-09-19 "
"331";"2024-051";"LOG0005107";;;"UAB Arfi Line";"2024-01-29";"45";"2024-03-14";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-03-22 "
"332";"2024-538";"LOG0005580";;;"UAB Arfi Line";"2024-09-04";"45";"2024-10-19";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-10-31 "
"333";"2024-653";"LOG0005695";;;"UAB Arfi Line";"2024-10-18";"45";"2024-12-02";" ";"1936";"EUR";"1936";"1600";"1936";"0";"1936";"0";"1936 EUR 2024-12-21 "
"334";"2024-037";"LOG0005093";;;"UAB Arfi Line";"2024-01-25";"45";"2024-03-10";" ";"121";"EUR";"121";"100";"121";"0";"121";"0";"121 EUR 2024-03-13 "
"335";"2024-021";"LOG0005080";;;"UAB Arfi Line";"2024-01-17";"45";"2024-03-02";" ";"943,8";"EUR";"943,8";"780";"943,8";"0";"943,8";"0";"943.8 EUR 2024-03-13 "
"336";"2024-205";"LOG0005259";;;"UAB Arfi Line";"2024-03-29";"45";"2024-05-13";" ";"399,3";"EUR";"399,3";"330";"399,3";"0";"399,3";"0";"399.3 EUR 2024-05-23 "
"337";"2024-502";"LOG0005547";;;"UAB Arfi Line";"2024-08-19";"45";"2024-10-03";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-10-18 "
"338";"2024-623";"LOG0005675";;;"UAB Arfi Line";"2024-10-10";"45";"2024-11-24";" ";"544,5";"EUR";"544,5";"450";"544,5";"0";"544,5";"0";"544.5 EUR 2024-12-05 "
"339";"2024-565";"LOG0005604";;;"UAB Arfi Line";"2024-09-16";"45";"2024-10-31";" ";"968";"EUR";"968";"800";"968";"0";"968";"0";"968 EUR 2024-11-26 "
"340";"2024-422";"LOG0005468";;;"UAB Arfi Line";"2024-07-15";"30";"2024-08-14";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-09-17 "
"341";"2024-527";"LOG0005570";;;"UAB Arfi Line";"2024-08-30";"45";"2024-10-14";" ";"635,25";"EUR";"635,25";"525";"635,25";"0";"635,25";"0";"635.25 EUR 2024-10-28 "
"342";"2024-428";"LOG0005474";;;"UAB Arfi Line";"2024-07-15";"45";"2024-08-29";" ";"520,3";"EUR";"520,3";"430";"520,3";"0";"520,3";"0";"520.3 EUR 2024-10-09 "
"343";"2024-704";"LOG0005749";;;"UAB Arfi Line";"2024-11-15";"45";"2024-12-30";" ";"217,8";"EUR";"217,8";"180";"217,8";"0";"217,8";"0";"217.8 EUR 2025-01-15 "
"344";"2024-400";"LOG0005448";;;"UAB Arfi Line";"2024-06-28";"45";"2024-08-12";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-08-22 "
"345";"2024-481";"LOG0005524";;;"UAB Arfi Line";"2024-07-31";"45";"2024-09-14";" ";"629,2";"EUR";"629,2";"520";"629,2";"0";"629,2";"0";"629.2 EUR 2024-10-02 "
"346";"2024-672";"LOG0005709";;;"UAB Arfi Line";"2024-10-31";"45";"2024-12-15";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2024-12-30 "
"347";"2024-732";"LOG0005773";;;"UAB Arfi Line";"2024-11-27";"45";"2025-01-11";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2025-02-02 "
"VISO:";"";"";"";"";"";"";"";"";"";"11150.65";"";"11150.65";"9415";"11150.65";"0";"11150.65";"0";""
"348";"2024-631";"LOG0005670";"UAB TJC Logistics";;"UAB TJC Logistics";"2024-10-10";"45";"2024-11-24";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-11-29 "
"349";"2024-779";"LOG0005824";"UAB Aksola";;"UAB Aksola";"2024-12-19";"45";"2025-02-02";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2025-01-25 "
"350";"2024-669";"LOG0005706";;;"UAB Aksola";"2024-10-31";"45";"2024-12-15";" ";"350";"EUR";"350";"350";"350";"0";"350";"0";"350 EUR 2024-12-15 "
"351";"2024-389";"LOG0005437";;;"UAB Aksola";"2024-06-28";"45";"2024-08-12";" ";"1028,5";"EUR";"1028,5";"850";"1028,5";"0";"1028,5";"0";"1028.5 EUR 2024-08-14 "
"352";"2024-689";"LOG0005731";;;"UAB Aksola";"2024-11-11";"45";"2024-12-26";" ";"496,1";"EUR";"496,1";"410";"496,1";"0";"496,1";"0";"496.1 EUR 2024-12-21 "
"353";"2024-456";"LOG0005500";;;"UAB Aksola";"2024-07-24";"45";"2024-09-07";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-09-05 "
"354";"2024-563";"LOG0005602";;;"UAB Aksola";"2024-09-16";"45";"2024-10-31";" ";"701,8";"EUR";"701,8";"580";"701,8";"0";"701,8";"0";"701.8 EUR 2024-10-25 "
"355";"2024-780";"LOG0005825";;;"UAB Aksola";"2024-12-19";"45";"2025-02-02";" ";"580,8";"EUR";"580,8";"480";"580,8";"0";"580,8";"0";"580.8 EUR 2025-01-25 "
"VISO:";"";"";"";"";"";"";"";"";"";"4004.2";"";"4004.2";"3370";"4004.2";"0";"4004.2";"0";""
"356";"2024-437";"LOG0005483";"UAB GPA Logistika";;"UAB GPA Logistika";"2024-07-15";"30";"2024-08-14";" ";"420";"EUR";"420";"420";"420";"0";"420";"0";"420 EUR 2024-08-30 "
"357";"2024-458";"LOG0005502";;;"UAB GPA Logistika";"2024-07-24";"30";"2024-08-23";" ";"1100";"EUR";"1100";"1100";"1100";"0";"1100";"0";"1100 EUR 2024-09-16 "
"358";"2024-268";"LOG0005326";;;"UAB GPA Logistika";"2024-05-06";"30";"2024-06-05";" ";"1150";"EUR";"1150";"1150";"1150";"0";"1150";"0";"1150 EUR 2024-06-20 "
"VISO:";"";"";"";"";"";"";"";"";"";"2670";"";"2670";"2670";"2670";"0";"2670";"0";""
"359";"2024-511";"LOG0005554";"UAB MTL Group";;"UAB MTL Group";"2024-08-28";"45";"2024-10-12";" ";"330";"EUR";"330";"330";"330";"0";"330";"0";"330 EUR 2024-10-21 "
"360";"2024-110";"LOG0005167";;;"UAB MTL Group";"2024-02-28";"45";"2024-04-13";" ";"850";"EUR";"850";"850";"850";"0";"850";"0";"850 EUR 2024-04-15 "
"361";"2024-247";"LOG0005300";;;"UAB MTL Group";"2024-04-26";"45";"2024-06-10";" ";"440";"EUR";"440";"440";"440";"0";"440";"0";"440 EUR 2024-06-10 "
"362";"2024-498";"LOG0005543";;;"UAB MTL Group";"2024-08-19";"45";"2024-10-03";" ";"2420";"EUR";"2420";"2000";"2420";"0";"2420";"0";"2420 EUR 2024-10-14 "
"VISO:";"";"";"";"";"";"";"";"";"";"4040";"";"4040";"3620";"4040";"0";"4040";"0";""
"363";"2024-178";"LOG0005228";"UAB FSTS";;"UAB FSTS";"2024-03-21";"45";"2024-05-05";" ";"459,8";"EUR";"459,8";"380";"459,8";"0";"459,8";"0";"459.8 EUR 2024-05-06 "
"364";"2024-125";"LOG0005182";;;"UAB FSTS";"2024-02-28";"45";"2024-04-13";" ";"193,6";"EUR";"193,6";"160";"193,6";"0";"193,6";"0";"193.6 EUR 2024-04-15 "
"365";"2024-168";"LOG0005232";;;"UAB FSTS";"2024-03-21";"45";"2024-05-05";" ";"629,2";"EUR";"629,2";"520";"629,2";"0";"629,2";"0";"629.2 EUR 2024-05-06 "
"366";"2024-302";"LOG0005359";;;"UAB FSTS";"2024-05-23";"45";"2024-07-07";" ";"223,85";"EUR";"223,85";"185";"223,85";"0";"223,85";"0";"223.85 EUR 2024-07-08 "
"367";"2024-649";"LOG0005691";;;"UAB FSTS";"2024-10-18";"45";"2024-12-02";" ";"50";"EUR";"50";"50";"50";"0";"50";"0";"50 EUR 2024-12-03 "
"368";"2024-549";"LOG0005588";;;"UAB FSTS";"2024-09-11";"45";"2024-10-26";" ";"205,7";"EUR";"205,7";"170";"205,7";"0";"205,7";"0";"205.7 EUR 2024-10-28 "
"VISO:";"";"";"";"";"";"";"";"";"";"1762.15";"";"1762.15";"1465";"1762.15";"0";"1762.15";"0";""
"369";"2024-206";"LOG0005260";"UAB Rhenus Logistics";;"UAB Rhenus Logistics";"2024-03-29";"45";"2024-05-13";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-05-08 "
"370";"2024-479";"LOG0005522";;;"UAB Rhenus Logistics";"2024-07-31";"45";"2024-09-14";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-09-11 "
"371";"2024-735";"LOG0005776";;;"UAB Rhenus Logistics";"2024-11-27";"45";"2025-01-11";" ";"508,2";"EUR";"508,2";"420";"508,2";"0";"508,2";"0";"508.2 EUR 2025-01-15 "
"372";"2024-340";"LOG0005396";;;"UAB Rhenus Logistics";"2024-06-07";"45";"2024-07-22";" ";"290,4";"EUR";"290,4";"240";"290,4";"0";"290,4";"0";"290.4 EUR 2024-07-17 "
"VISO:";"";"";"";"";"";"";"";"";"";"1548.8";"";"1548.8";"1280";"1548.8";"0";"1548.8";"0";""
"373";"2024-158";"LOG0005214";"UAB Kuehne + Nagel";;"UAB Kuehne + Nagel";"2024-03-14";"30";"2024-04-13";" ";"1427,8";"EUR";"1427,8";"1180";"1427,8";"0";"1427,8";"0";"1427.8 EUR 2024-04-17 "
"374";"2024-131";"LOG0005188";;;"UAB Kuehne + Nagel";"2024-03-06";"30";"2024-04-05";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-04-11 "
"375";"2024-129";"LOG0005186";;;"UAB Kuehne + Nagel";"2024-03-06";"30";"2024-04-05";" ";"586,85";"EUR";"586,85";"485";"586,85";"0";"586,85";"0";"586.85 EUR 2024-04-11 "
"376";"2024-262";"LOG0005320";;;"UAB Kuehne + Nagel";"2024-04-30";"30";"2024-05-30";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-05-31 "
"377";"2024-757";"LOG0005803";;;"UAB Kuehne + Nagel";"2024-12-06";"30";"2025-01-05";" ";"1573";"EUR";"1573";"1300";"1573";"0";"1573";"0";"1573 EUR 2025-01-08 "
"378";"2024-207";"LOG0005262";;;"UAB Kuehne + Nagel";"2024-03-29";"30";"2024-04-28";" ";"1028,5";"EUR";"1028,5";"850";"1028,5";"0";"1028,5";"0";"1028.5 EUR 2024-05-15 "
