"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"69";"2024-105";"LOG0005162";;;"UAB Logiset";"2024-02-21";"30";"2024-03-22";" ";"1350";"EUR";"1350";"1350";"1350";"0";"1350";"0";"1350 EUR 2024-04-12 "
"70";"2024-264";"LOG0005322";;;"UAB Logiset";"2024-04-30";"30";"2024-05-30";" ";"1220";"EUR";"1220";"1220";"1220";"0";"1220";"0";"1200 EUR 2024-06-21 20 EUR 2024-06-28 "
"71";"2024-179";"LOG0005237";;;"UAB Logiset";"2024-03-21";"30";"2024-04-20";" ";"920";"EUR";"920";"920";"920";"0";"920";"0";"920 EUR 2024-05-17 "
"72";"2024-135";"LOG0005192";;;"UAB Logiset";"2024-03-06";"30";"2024-04-05";" ";"726";"EUR";"726";"600";"726";"0";"726";"0";"726 EUR 2024-04-12 "
"VISO:";"";"";"";"";"";"";"";"";"";"5450.2";"";"5450.2";"5110";"5450.2";"0";"5450.2";"0";""
"73";"2024-449";"LOG0005493";"UAB DLG";;"UAB DLG";"2024-07-24";"45";"2024-09-07";" ";"1210";"EUR";"1210";"1000";"1210";"0";"1210";"0";"1210 EUR 2024-11-05 "
"74";"2024-484";"LOG0005527";"UAB Cargokodas";;"UAB Cargokodas";"2024-07-31";"45";"2024-09-14";" ";"181,5";"EUR";"181,5";"150";"181,5";"0";"181,5";"0";"181.5 EUR 2024-11-06 "
"75";"2024-397";"LOG0005445";"UAB Baltic Transline";;"UAB Baltic Transline";"2024-06-28";"45";"2024-08-12";" ";"640";"EUR";"640";"640";"640";"0";"640";"0";"640 EUR 2024-08-22 "
"76";"2024-359";"LOG0005406";;;"UAB Baltic Transline";"2024-06-17";"45";"2024-08-01";" ";"163,35";"EUR";"163,35";"135";"163,35";"0";"163,35";"0";"163.35 EUR 2024-08-06 "
"77";"2024-053";"LOG0005109";;;"UAB Baltic Transline";"2024-01-29";"45";"2024-03-14";" ";"217,8";"EUR";"217,8";"180";"217,8";"0";"217,8";"0";"217.8 EUR 2024-03-18 "
"78";"2024-694";"LOG0005736";;;"UAB Baltic Transline";"2024-11-11";"45";"2024-12-26";" ";"992,2";"EUR";"992,2";"820";"992,2";"0";"992,2";"0";"992.2 EUR 2025-01-06 "
"79";"2024-356";"LOG0005403";;;"UAB Baltic Transline";"2024-06-17";"45";"2024-08-01";" ";"1040,6";"EUR";"1040,6";"860";"1040,6";"0";"1040,6";"0";"1040.6 EUR 2024-08-06 "
"80";"2024-166";"LOG0005230";;;"UAB Baltic Transline";"2024-03-21";"45";"2024-05-05";" ";"151,25";"EUR";"151,25";"125";"151,25";"0";"151,25";"0";"151.25 EUR 2024-05-08 "
"81";"2024-492";"LOG0005537";;;"UAB Baltic Transline";"2024-08-09";"45";"2024-09-23";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-10-03 "
"82";"2024-069";"LOG0005127";;;"UAB Baltic Transline";"2024-02-09";"45";"2024-03-25";" ";"169,4";"EUR";"169,4";"140";"169,4";"0";"169,4";"0";"169.4 EUR 2024-03-28 "
"83";"2024-058";"LOG0005114";;;"UAB Baltic Transline";"2024-02-05";"45";"2024-03-21";" ";"883,3";"EUR";"883,3";"730";"883,3";"0";"883,3";"0";"883.3 EUR 2024-03-26 "
"VISO:";"";"";"";"";"";"";"";"";"";"4499.9";"";"4499.9";"3830";"4499.9";"0";"4499.9";"0";""
